NumberOfClusters,NumberOfNonSingletonClusters,R-Squared(RSQ),Semipartial R-Squared(SPRSQ),SPRSQRank,Kelley Penalty,IsKelleyGlobalMinimum,MergeDistance
632,125,0.995294,2.99281e-05,,666.099,,0.2798
633,125,0.995346,5.18475e-05,,667.016,,0.2797
634,125,0.995406,6.00475e-05,,667.945,,0.278633
635,125,0.995526,0.00011967,,668.867,,0.278591
636,124,0.995554,2.86237e-05,,669.438,,0.2767
637,124,0.995604,4.91769e-05,,670.321,,0.2756
638,124,0.995726,0.000121968,,671.253,,0.275508
639,124,0.995819,9.33866e-05,,672.157,,0.27492
640,123,0.995846,2.68066e-05,,672.738,,0.2722
641,122,0.995873,2.68066e-05,,673.321,,0.2722
642,121,0.995899,2.61818e-05,,673.907,,0.2706
643,120,0.995925,2.61818e-05,,674.495,,0.2706
644,119,0.995951,2.61432e-05,,675.084,,0.2705
645,118,0.995977,2.61432e-05,,675.674,,0.2705
646,117,0.996003,2.59504e-05,,676.266,,0.27
647,116,0.996029,2.5912e-05,,676.86,,0.2699
648,117,0.996158,0.000129243,,677.905,,0.267933
649,117,0.996244,8.53184e-05,,678.837,,0.2673
650,117,0.996287,4.35746e-05,,679.688,,0.2663
651,117,0.996332,4.42297e-05,,680.548,,0.26475
652,117,0.99639,5.85761e-05,,681.417,,0.264
653,117,0.996437,4.64265e-05,,682.348,,0.263767
654,117,0.996489,5.20705e-05,,683.241,,0.26285
655,118,0.996551,6.22091e-05,,684.354,,0.2625
656,117,0.996574,2.28686e-05,,684.966,,0.2616
657,117,0.996643,6.9655e-05,,685.863,,0.261533
658,118,0.996743,9.96129e-05,,687.061,,0.2603
659,118,0.996781,3.79287e-05,,687.999,,0.25895
660,118,0.996827,4.58339e-05,,688.927,,0.2589
661,118,0.996866,3.89222e-05,,689.778,,0.25885
662,118,0.996904,3.86485e-05,,690.649,,0.25875
663,119,0.997086,0.000181358,,691.746,,0.257741
664,118,0.997107,2.10709e-05,,692.37,,0.2563
665,117,0.997128,2.0907e-05,,692.996,,0.2558
666,116,0.997148,2.03888e-05,,693.625,,0.2542
667,115,0.997168,2.01333e-05,,694.257,,0.2534
668,115,0.99723,6.1397e-05,,695.188,,0.253117
669,115,0.997264,3.44607e-05,,696.074,,0.2517
670,115,0.997297,3.33558e-05,,697.009,,0.2513
671,115,0.997332,3.51318e-05,,697.934,,0.2502
672,116,0.997404,7.16858e-05,,699.069,,0.25
673,116,0.997438,3.37966e-05,,699.987,,0.2497
674,115,0.997457,1.85907e-05,,700.63,,0.2484
675,115,0.997489,3.29258e-05,,701.497,,0.24735
676,116,0.997612,0.000122628,,702.705,,0.247094
677,115,0.99763,1.80284e-05,,703.352,,0.2465
678,115,0.99767,3.99976e-05,,704.28,,0.245367
679,115,0.997701,3.04156e-05,,705.207,,0.24485
680,115,0.997731,3.01383e-05,,706.132,,0.24415
681,116,0.997815,8.44456e-05,,707.269,,0.243638
682,116,0.997868,5.2799e-05,,708.185,,0.2432
683,116,0.997898,3.00397e-05,,709.072,,0.2431
684,116,0.997928,3.00188e-05,,709.972,,0.2426
685,116,0.997966,3.84391e-05,,710.874,,0.241067
686,115,0.997983,1.63361e-05,,711.534,,0.2405
687,115,0.998012,2.89499e-05,,712.42,,0.2404
688,114,0.998028,1.6309e-05,,713.082,,0.2404
689,115,0.998237,0.000208781,,714.24,,0.240142
690,116,0.998306,6.87442e-05,,715.374,,0.23815
691,115,0.998321,1.55623e-05,,716.041,,0.2376
692,115,0.998348,2.67413e-05,,716.974,,0.23735
693,114,0.998363,1.54578e-05,,717.644,,0.2372
694,113,0.998379,1.53279e-05,,718.314,,0.2367
695,112,0.998393,1.47911e-05,,718.989,,0.2346
696,111,0.998408,1.46654e-05,,719.664,,0.2341
697,110,0.998423,1.46404e-05,,720.341,,0.234
698,109,0.998437,1.43177e-05,,721.021,,0.2327
699,108,0.998451,1.4244e-05,,721.701,,0.2324
700,108,0.998479,2.72927e-05,,722.625,,0.2319
701,109,0.998542,6.30211e-05,,723.728,,0.231267
702,108,0.998555,1.32652e-05,,724.415,,0.2283
703,107,0.998568,1.31956e-05,,725.104,,0.228
704,108,0.99869,0.000122107,,726.236,,0.227869
705,109,0.998733,4.28715e-05,,727.424,,0.2265
706,108,0.998746,1.26487e-05,,728.117,,0.2256
707,108,0.998772,2.67745e-05,,729.06,,0.224133
708,107,0.998785,1.23156e-05,,729.756,,0.2241
709,106,0.998796,1.16693e-05,,730.457,,0.2211
710,106,0.998817,2.08302e-05,,731.362,,0.221
